campaign_id,visit_ts,is_convertion,uuid_user
5,2025-02-16 00:00:03,0,
4,2025-02-16 00:00:13,0,
4,2025-02-16 00:00:24,1,dfc54fb8-45cc-5fd5-99ac-f1f4d49d76ab
3,2025-02-16 00:01:01,1,1cb88369-8c8a-54c4-8edb-626a5c344df2
5,2025-02-16 00:01:18,0,
4,2025-02-16 00:01:26,0,
2,2025-02-16 00:01:27,0,
1,2025-02-16 00:01:29,0,
1,2025-02-16 00:01:47,0,
4,2025-02-16 00:01:49,1,04bbd5e2-8981-5c6e-a2e3-6026ded915c4
4,2025-02-16 00:01:58,0,
5,2025-02-16 00:02:02,0,
1,2025-02-16 00:02:19,0,
4,2025-02-16 00:02:35,0,
1,2025-02-16 00:02:36,0,
4,2025-02-16 00:02:43,1,ab91958d-6fde-5c3d-a151-880da0da0826
5,2025-02-16 00:02:43,1,16ee7721-2050-5a94-8e12-02cb34165648
2,2025-02-16 00:03:14,0,
4,2025-02-16 00:03:22,1,eea7fa85-ccc3-5645-bbfa-3efca3a659c4
3,2025-02-16 00:03:28,1,65656753-9056-5438-b905-e140559887d8
4,2025-02-16 00:03:50,1,7cd9710a-3f4f-5400-a867-f1d439b797fb
1,2025-02-16 00:04:19,0,
3,2025-02-16 00:04:49,1,40c8430e-b3e8-5d84-acaa-96be9c47a617
1,2025-02-16 00:05:36,0,
1,2025-02-16 00:06:12,1,5d7e3982-b4cf-5ca6-9734-744833b910a3
5,2025-02-16 00:06:27,0,
5,2025-02-16 00:07:21,0,
5,2025-02-16 00:07:45,0,
2,2025-02-16 00:07:54,0,
5,2025-02-16 00:08:21,0,
4,2025-02-16 00:08:49,1,ae50439f-f4ec-56c9-aeec-3593e4f1457f
5,2025-02-16 00:09:01,0,
4,2025-02-16 00:09:02,0,
5,2025-02-16 00:09:06,0,
2,2025-02-16 00:09:06,1,a9ca290c-884a-5a32-b811-5493caef6961
1,2025-02-16 00:09:21,0,
4,2025-02-16 00:10:08,1,5ea5a251-db0d-5e5e-a293-645b61a59f51
1,2025-02-16 00:10:44,1,52388865-df5d-5f46-8df6-034d113e9391
2,2025-02-16 00:11:12,0,
5,2025-02-16 00:11:34,1,4af1bee3-efef-590a-92aa-d8494b065fb2
3,2025-02-16 00:11:44,0,
1,2025-02-16 00:11:50,0,
1,2025-02-16 00:11:53,0,
2,2025-02-16 00:12:25,0,
5,2025-02-16 00:12:36,1,5a004b84-2b16-5b4f-a730-6ef8cf8d40f7
3,2025-02-16 00:12:44,0,
1,2025-02-16 00:13:00,0,
5,2025-02-16 00:13:04,0,
5,2025-02-16 00:13:15,0,
2,2025-02-16 00:13:22,0,
5,2025-02-16 00:13:30,0,
2,2025-02-16 00:13:51,0,
1,2025-02-16 00:14:31,0,
5,2025-02-16 00:14:35,0,
5,2025-02-16 00:14:55,0,
3,2025-02-16 00:15:23,0,
